AdendorfBf;Empfangsgebäude,DachGrau,FassadeZiegel
Elbe-Seitenkanal;Stahlbrücke,Stahlbogenbrücke,Bogenbrücke
Elbe-Seitenkanal innen;Brücke
Schiffshebewerk;Kanal,Schleuse
DB Schild;Schild
EchemBf;Empfangsgebäude,FassadeZiegel,DachGrau
EchemStwEf;Stellwerk,FassadeRot
NRWU EG;Empfangsgebäude,FassadeGelb,DachBraun
NRWU HCR Halle;Industrie,Unterstand,Carport,FassadeGrün,DachBraun
NRWU HCR Turm;Silo
NRWU Hofer Str 12 1;Industrie,Halle,FassadeGrau,DachGrau
NRWU Hofer Str 12 2;Industrie,Halle,FassadeGrau,DachGrau
NRWU Hofer Str 14;Industrie,FassadeGrau,DachGrau
NRWU Hofer Str 22;Industrie,Spedition,FassadeGrau,DachGrau
NRWU Hofer Str 8;Industrie,Büro,FassadeGrau
NRWU Muellumladestation;Industrie,FassadeBraun,DachBraun
NRWU Treppe CoburgerStr;Treppe
NRWA Baltenstr 26;Hochhaus,FassadeBeige
NRWA Baltenstr 28;Hochhaus,FassadeBeige
NRWA Baltenstr 30;Hochhaus,FassadeBeige
NRWA Baltenstr 32;Hochhaus,FassadeBlau
NRWA Betonwerk 1;Industrie,Silo
NRWA Betonwerk 2;Silo
NRWA Betonwerk 3;Industrie,FassadeGrau,DachSchwarz
NRWA EBR DonaustauferStr;Steinbrücke
NRWA EG;Empfangsgebäude,FassadeBeige,DachBraun
NRWA Gelaender 6;Geländer
NRWA Gueterschuppen;Güterschuppen,FassadeBeige,DachRot
NRWA Pfeiler BrandlbergerBr;Pfeiler
NRWA Treppe Brandlberger Bruecke;Treppe
NRWA Walhalla Kalk 1;Industrie,Kulisse,Kalksteinbruch
NRWA Walhalla Kalk 2;Industrie,Kulisse,Kalksteinbruch
NRWA Walhalla Kalk 3;Industrie,Kulisse,Kalksteinbruch
NRWA Walhalla Kalk 4;Industrie,Kulisse,Kalksteinbruch
NRWA Walhalla Kalk 5;Industrie,Kulisse,Kalksteinbruch
NRWA Walhalla Kalk 6;Industrie,Kulisse,Kalksteinbruch
Bahnhofswirtschaft;Gasthaus,FassadeGrau,DachRot
DurchlassKM32 7;Durchlass
DurchlassKM32 7 Weg;Durchlass
EG Wipshausen;Empfangsgebäude,FassadeGrau,DachRot
Ersestrasse52;Bauernhof,FassadeZiegel,DachRot
Ersestrasse56;Industrie,FassadeGrau,DachRot,Raiffeisen,Silo
Feld 01;Bauernhof,Feld,Spargel
Feld 02;Bauernhof,Feld,Spargel
Feld 03;Bauernhof,Feld,Spargel
Feld 04;Bauernhof,Feld,Spargel
Feld 05;Bauernhof,Feld,Spargel
Feld 06;Bauernhof,Feld,Spargel
Feld 07;Bauernhof,Feld,Spargel
Feld 08;Bauernhof,Feld,Spargel
WipshausenNG;Güterschuppen,FassadeGrau,DachRot
Betonrohr;Durchlass
DurchlassGrabenBeton;Durchlass
EG Wense;Empfangsgebäude,FassadeGrau,DachRot
WenseNG;Güterschuppen,Schuppen,FassadeGrau,DachRot
Alte Fabrik;Industrie,FassadeBeige,DachGrau,DachSchwarz
Anbau Gs;Schuppen,FassadeZiegel
Ausgang li;Schild,CDC
Ausgang re;Schild,CDC
Bahnwaerterhaus;Stellwerk,FassadeZiegel
Bellevue;Mehrfamilienhaus,Stadthaus,FassadeZiegel,DachGrau
Fuldabruecke;Brücke,Betonbrücke,Bogenbrücke,Betonbogenbrücke
Gelaender 1344 E;Zaun,Geländer
Gelaender 1344 M;Zaun,Geländer
Gueterhalle;Industrie,Güterschuppen,FassadeWeiss,DachGrau
Guntershausen EG;Empfangsgebäude,FassadeBeige,DachGrau,DachSchwarz
Halbe Steinbruecke;Brücke,Steinbrücke
Haupthaus;Bahnbude,Büro,FassadeZiegel,DachGrau
Nebengebauede;Schuppen,FassadeBeige,DachSchwarz
Nebenhaus;Bahnbude,Büro,FassadeZiegel,DachGrau
Pfeilerfuss 1;Pfeiler
Pfeilerfuss 2;Pfeiler
Schild Ost li;Schild,CDC
Schild Ost re;Schild,CDC
Schild West li;Schild,CDC
Schild West re;Schild,CDC
Schuppen;Schuppen,Bahnbude,FassadeZiegel,DachGrau,DachSchwarz
Sportplatzhuette;Sport,Sportplatz,FassadeGrau,DachGrau
Steinbruecke;Brücke,Steinbrücke
Stellwerk Gm;Stellwerk,FassadeZiegel,DachGrau
Stellwerk Gs;Stellwerk,FassadeZiegel,DachGrau
Stellwerk Guf;Stellwerk,FassadeBeige,DachGrau
Strassenbruecke;Brücke,Betonbrücke
Unterfuehrung Bahnsteig;Bahnsteigabgang,Bahnsteigzugang
Unterfuehrung Weg;Bahnsteigabgang,Bahnsteigzugang
Wohnhaus 1;Mehrfamilienhaus,FassadeZiegel,DachGrau
Wohnhaus 2;Zweifamilienhaus,FassadeWeiss,FassadeGrau,DachGrau
Brueckenrahmen;Brücke,Steinbrücke
Gleis1-2;Schild,Gleis1,Gleis2
Guntershausen;Güterschuppen,FassadeFachwerk,DachGrau
Guxhagen EG;Empfangsgebäude,FassadeBeige,DachGrau
Guxhagen Nordportal;Tunnel,Tunnelportal
Guxhagen Suedportal;Tunnel,Tunnelportal
Guxhagen Suedportal Links;Tunnel,Tunnelportal
Lagerhalle 1;Raiffeisen,FassadeBeige,DachBraun,DachGrau
Lagerhalle 2;Raiffeisen,FassadeBeige,DachGrau,DachBraun
Pfeiler Nordportal;Tunnelportal
Pfeiler Suedportal;Tunnel,Tunnelportal
Raiffeisen Anbau;Mehrfamilienhaus,FassadeBeige,DachGrau
Raiffeisen Haus;Raiffeisen,FassadeBeige,DachGrau
Bruecke B5;Stahlbrücke,Stahlfachwerkbrücke,Straßenbrücke,Brücke
Bruecke Dorfstr;Brücke,Steinbrücke
EUe Stecknitz;Brücke,Betonbrücke
Elbbr Flutbruecke;Stahlbrücke,Brücke
Elbbr Ueberbau;Brücke,Stahlbrücke,Stahlfachwerkbrücke
Elbbr Vorbau Hohnstorf;Stahlbrücke,Brücke
Fussgaengerbr 149 6;Brücke,Steinbrücke
Hafenbruecke;Straßenbrücke,Brücke,Betonbrücke
Hafenbruecke Gurt;Brücke,Stahlbrücke,Stahlbogenbrücke,Bogenbrücke
Lauenburg EG;Empfangsgebäude,FassadeZiegel,DachGrau
Lauenburg Gbf;Güterschuppen,Spedition,FassadeZiegel,DachGrau
Magdalenenkirche;Kirche,FassadeZiegel,DachGrau,DachRot
Raiffeisen;Raiffeisen,Silo,FassadeGrau,DachGrau
Schiffshalle;Industrie,Werft
SchildBrueckengehweg;Schild
SchildSchleswHolstein;Schild
Schleuse im Bau;Schleuse
Schleusentor;Schleuse,Trockendock
Stadtkulisse;Kulisse,FassadeZiegel,DachRot
Suedwerft;Industrie,Werft,FassadeZiegel,DachGrau
UnterrichtungstafelElbe;Schild
Werftkran;Kran
Kanalbruecke;Brücke,Stahlbrücke,Stahlfachwerkbrücke
AStw;Stellwerk,FassadeZiegel,FassadeGelb,DachGrau
Bauernhof-Kulisse 1;Scheune,Kulisse,FassadieZiegel,FassadeBeige
Bauernhof-Kulisse 2;Scheune,FassadeBeige,DachSchwarz,DachRot,Kulisse,FassadeZiegel
Bauernhof-Kulisse 3;Bauernhof,FassadeZiegel,DachRot
Bauernhof-Kulisse 4;FassadeFachwerk,DachGrau,FassadeGelb,Bauernhof,Mehrfamilienhaus
Bauernhof-Kulisse 5;Bauernhof,Scheune,FassadeZiegel,DachBraun
Bauhof Koerle;Scheune,Halle,FassadeHolz,DachRot
Gb Rohleder;Gewerbe,FassadeWeiss,DachGrau
Geb Geruestbau;Büro,FassadeBeige,DachGrau
Geb Landhandel-Kulisse 1;Raiffeisen,Industrie,FassadeWeiss,FassadeFachwerk,DachBraun
Geb Landhandel-Kulisse 2;Industrie,Raiffeisen,FassadeWeiss,DachRot
Gemeindetafel;Aushang
Halle 243-6;Industrie,FassadeBeige,FassadeGelb
Halle 246-0;Industrie,FassadeBeige,zweistöckig,DachGrau
Halle 246-1;Industrie,Werkstatt,FassadeGrau,FassadeBeige,DachGrau
Halle Anbau 246-1;Industrie,FassadeBeige,FassadeGrau,DachGrau
Halle Landhandel;Garage,FassadeZiegel,DachGrau
Halle Rohleder;Garage,FassadeGrau,DachRot
Haus 1;Mehrfamilienhaus,FassadeSchiefer,FassadeBeige,DachGrau
Haus 246-3;Schrankenposten,FassadeZiegel,DachRot
Haus 4;Sport,FassadeBeige,DachRot
Haus 9;Bahnbude,FassadeZiegel,DachGrau
Netto-Markt;Supermarkt
Schuppen 1;Schuppen,FassadeBeige,DachRot
Schuppen 2;Schuppen,FassadeBruchstein,DachGrau
Steg 243;Steg
Wh 1;Mehrfamilienhaus,Eckhaus,FassadeWeiss,DachRot
Wh 2;Mehrfamilienhaus,MitGarage,FassadeWeiss,FassadeGrau,DachRot
Wh 3;Mehrfamilienhaus,FassadeOrange,DachRot
Wh 4 Kulisse;Einfamilienhaus,Kulisse,FassadeWeiss,DachSchwarz
Blechtraeger-1;Brücke,Stahlbrücke
NR-11 Werkstatt-1;Industrie,FassadeZiegel
NR-11 Werkstatt-2;Industrie,FassadeZiegel,DachSchwarz
NR 10-1-WBlock-1;Stadthaus,Reihenhaus,Mehrfamilienhaus,FassadeZiegel,DachRot
NR 10-1-WBlock-2;Stadthaus,Reihenhaus,Mehrfamilienhaus,FassadeZiegel,DachRot
NR 10-1-WBlock-3;Stadthaus,Reihenhaus,Mehrfamilienhaus,FassadeZiegel,DachRot
NR 10-1-WBlock-LK-1;Stadthaus,Reihenhaus,Mehrfamilienhaus,Eckhaus,FassadeZiegel,DachRot
NR 10-1-WBlock-RK-1;Stadthaus,Reihenhaus,Mehrfamilienhaus,Eckhaus,FassadeZiegel,DachRot
NR 10 Rheinische-130-b;Stadthaus,Reihenhaus,Mehrfamilienhaus,Gewerbe,FassadeGrau,DachSchwarz
NR 10 Rheinische-130;Stadthaus,Reihenhaus,Mehrfamilienhaus,FassadeGrau,DachSchwarz
NR 12 O-und-K-Halle-1-Gesamt;Industrie,FassadeBlau,DachGrau
NR 12 O-und-K-Halle-2;Industrie,FassadeZiegel,DachGrau
NR 12 O-und-K-Halle-3-Gesamt;Industrie,FassadeBlau,DachGrau
NR 12 O-und-K-Halle-4a-Gesamt;Industrie,Halle,zweistöckig,FassadeGrau,DachSchwarz
NR 13 M S Zugang-1;Fußgängerbrücke
NR 13 M S Zugang-2;Fußgängerbrücke,Bahnsteigzugang
NR 14 Indu-Verwaltung-1;Industrie,Büro,FassadeGrau
NR 14 Industrie-Halle-1;Industrie,FassadeZiegel,DachGrau
NR 14 Industrie-Halle-1a;Industrie,FassadeZiegel,FassadeGrau
NR 14 Industrie-Halle-1b;Industrie,FassadeZiegel,FassadeGrau
NR 14 Industrie-Halle-1c;Industrie,Halle,FassadeGlas
NR 15 Industrie-Halle-1;Industrie,FassadeGrau
NR 15 Industrie-Halle-1b;Industrie,FassadeGrau,DachGrau
NR 15 Industrie-Verwaltung-1;Industrie,FassadeZiegel
NR 16 Marten-Kirche;Kirche,FassadeZiegel
NR 17 Marten-Schule-Turnhalle;Sport,Schule,Turnhalle,FassadeZiegel
NR 17 Marten-Schule;Schule,FassadeZiegel,DachBlau
NR 18 Do Dorstfeld Stw-Ddf;Stellwerk,FassadeZiegel
NR 18 Do Dorstfeld Stw-NG;Industrie,Büro,FassadeZiegel
NR 19 W U-Halle-1-Komplex;Industrie,FassadeZiegel
NR 19 W U-Halle-2-Komplex;Industrie,FassadeGrau,DachGrau
NR 19 W U-Verwaltung;Industrie,FassadeZiegel,DachSchwarz
NR 6 Stuetze-1;Stütze,Pfeiler
NR 7-Bstg 1-Nieder;Bahnsteigabgang
NR 7-Bstg 2-Nieder;Bahnsteigabgang
NR 8 Bf-Dorstfeld-EG-Bereich-1-Komplex;Empfangsgebäude
NR 8 Bf-Dorstfeld-EG-Bereich-2-Komplex;Empfangsgebäude
NR 8 Bf-Dorstfeld-UG-Stuetze;Pfeiler
NR 8 Bf-Dorstfeld-UG-linke-Stuetze-Bstg;Pfeiler
NR 8 Bf-Dorstfeld-UG-rechte-Stuetze-Bstg;Pfeiler
NR 8 Bf-Dorstfeld-Uebergang-82m;Fußgängerbrücke
NR 9 Wasserturm;Wasserturm
Nr 8 Bf-Dorstfeld-Abgang-Gl-3-4;Bahnsteigzugang
Nr 8 Bf-Dorstfeld-Abgang-Gl-5-6;Bahnsteigzugang
SBK-8gl;Signalbrücke
Bruecke km47 0;Brücke,Straßenbrücke,Steinbrücke
Buechen EG;Empfangsgebäude,FassadeZiegel,DachBraun
Buechen Stw Bf;Stellwerk,FassadeZiegel
Buechen Tor;Denkmal
DB Keks Rundmast;Fahne
Kanalbruecke km238 2;Brücke,Stahlbrücke,Bogenbrücke,Stabbogenbrücke
Post;Post,FassadeZiegel,DachBraun
Rollbandanzeiger1;Zugzielanzeiger,Gleis1
Rollbandanzeiger140;Zugzielanzeiger,Gleis140
Rollbandanzeiger4;Zugzielanzeiger,Gleis4
Rollbandanzeiger40 41;Zugzielanzeiger,Gleis40,Gleis41
Spasskasse;Sparkasse,FassadeZiegel,DachGrau
Treppenabgang;Bahnsteigabgang,FassadeZiegel
Vordach Bf;Dach,Fahrrad
Wasserturm;FassadeZiegel,DachSchwarz
GuesterStwGf;Stellwerk,FassadeZiegel,DachGrau
RoseburgBf;Empfangsgebäude,FassadeGelb,DachGrau
02 Do Bstg-Aufsicht;Bahnbude,FassadeZiegel,Bahnsteigaufsicht
02 Do Bstg 1-Nieder;Bahnsteigabgang
03 Do Bruecke-Unionstr-Ges-Endteil;Brücke,Betonbrücke
03 Do Bruecke-Unionstr-Ges-Mittenteil;Brücke,Betonbrücke
04 Do Stw Anbau;Werkstatt,Bahnbude,FassadeZiegel
04 Do Stw Dhf;Stellwerk,FassadeZiegel
10 Do-AOK;Büro,Verwaltung,FassadeBeige,FassadeRot
10 Do-Aerztehaus;Hochhaus,Büro,Verwaltung,FassadeZiegel
10 Do-Arbamt;Büro,Verwaltung,Arbeitsagentur
10 Do-BW-Hotel-1;Hotel,FassadeRot,DachGrau
10 Do-BW-Hotel-2;Stadthaus,Eckhaus,Reihenhaus,FassadeBeige
10 Do-Bender;Mehrfamilienhaus,FassadeGrau,DachBraun
10 Do-Bf-Hotel;Hotel,FassadeRosa
10 Do-Bf-VP-1;Hochhaus,FassadeGrau
10 Do-Brueggemann-BBZ;Büro,Verwaltung,FassadeLila
10 Do-Brueggemann-SpH-2;Industrie,FassadeGrau,Büro
10 Do-Brueggemann-SpH;Industrie,FassadeGrau
10 Do-Cinema;Cinestar,Kino
10 Do-Continental;Hochhaus,Büro,FassadeGrau
10 Do-Dekra;Industrie,Werkstatt,FassadeGrau,FassadeBlau
10 Do-Dolberg;Stadthaus,Eckhaus,Reihenhaus,Büro,DachGrau,FassadeBeige,FassadeGrau
10 Do-FW;Feuerwehr
10 Do-FZW;Industrie,Disco,FassadeBlau
10 Do-Harenberg;Hochhaus,FassadeBeige
10 Do-Hbf-NG-1-1;Büro,FassadeGrau,DachGrau
10 Do-Hbf-NG-1-2;Büro,FassadeGrau
10 Do-Hornbach;Baumarkt
10 Do-Hotel-Leonardo-gesamt;Büro,Verwaltung,Hotel,FassadeGrau
10 Do-Hun-Traenke-Kombi-5;Mehrfamilienhaus,FassadeGrau,DachGrau
10 Do-Hun-Traenke-Wh-1-Eck;Mehrfamilienhaus,Stadthaus,Eckhaus,FassadeGrau,DachGrau
10 Do-Hun-Traenke-Wh-1b;Mehrfamilienhaus,Reihenhaus,FassadeGrau,DachGrau
10 Do-Hun-Traenke-Wh-3-Einzel;Mehrfamilienhaus,Stadthaus,Eckhaus,FassadeGrau,Reihenhaus,DachGrau
10 Do-IWO;Hochhaus,FassadeSchwarz,FassadeBlau
10 Do-K-Museum;Stadthaus,Museum,FassadeLila,FassadeSchwarz
10 Do-Katharienen;Treppe,Reklame
10 Do-Kfz-Handel;Büro,FassadeGrau
10 Do-Lanbiblio;Bibliothek,FassadeZiegel,FassadeGlas
10 Do-Musikschule;Schule,FassadeRot
10 Do-Plan-Amt;Büro,Verwaltung,FassadeWeiss
10 Do-Post;Post,FassadeZiegel
10 Do-RSB-Kolleg;Schule,FassadeLila
10 Do-SB-Moebel;Möbelhaus,Industrie,FassadeGrau,DachGrau
10 Do-Sparkasse;Sparkasse,Hochhaus,FassadeZiegel
10 Do-Spielstation;Spielhalle,Industrie,FassadeBlau,DachGrau
10 Do-U-Brauerei;Brauerei,Industrie,FassadeZiegel
10 Do-VEW-Eingang;Industrie,Pförtner,FassadeZiegel,DachGrau
10 Do-VEW-Kuehlturm;Kraftwerk,Kühlturm
10 Do-VEW-MHalle-1;Industrie,FassadeZiegel
10 Do-VEW-Prod-Halle-1;Kraftwerk,Gaskraftwerk,Industrie,FassadeZiegel,FassadeBlau
10 Do-VEW-T-Werkstatt;Industrie,FassadeZiegel,DachGrau
10 Do-VEW-Verwaltung;Büro,Verwaltung,FassadeGrau,DachGrau
10 Do-VHS;Mehrfamilienhaus,Stadthaus,Eckhaus,FassadeBeige,DachRot
10 Do BWall Fa-1-gesamt;Mehrfamilienhaus,Gewerbe,FassadeGrau,DachGrau
10 Do BWall GHaus-1;Hochhaus,Büro,FassadeGrau,DachGrau
10 Do Leuth-Wh-3;Mehrfamilienhaus,FassadeGrau,Gewerbe,DachGrau
10 Do Leuth-Wh-Bl-1;Mehrfamilienhaus,FassadeOrange,FassadeGrau,Hochhaus
10 Do R-Schauhaus;Hochhaus,FassadeGrau
15 Do-SBK-5gl;Signalbrücke
21 Peine Beethoven-15;Mehrfamilienhaus,Stadthaus,Eckhaus,FassadeGrau,DachGrau
Bstg 11 31 Dach-solo;Bahnsteigdach
Bstg 11 31 Dach 1;Bahnsteigdach
Bstg 11 31 Teil 1;Bahnsteigdach
Bstg 11 31 Teil 2;Bahnsteigdach
Bstg Blende 730;Bahnsteigdach
Bstg Gl-7-6;Bahnsteigdach
Bstg Gl-8-10-Dach;Bahnsteigdach
Bstg Gl-8-10;Bahnsteigdach
Do-Hbf-EG-Gelaender;Zaun,Geländer
Do-Hbf-EG-Treppe;Treppe
Do-Hbf-EG;Empfangsgebäude,FassadeRot
Do-Hbf-Nord-EG;Empfangsgebäude
Do-Hbf EG-Gelaender-2;Zaun,Geländer
10 Do-Bbf-FaASD-PKran;Kran
10 Do-Bbf-FaASD;Industrie,Halle,FassadeGrau,DachGrau
10 Do-Bbf-FaFricke;Industrie,FassadeBlau,DachGrau
10 Do-Bbf-FaHermes;Industrie,FassadeBlau,DachBlau
10 Do-Bbf-FaPoeppel-Hallen-1-2;Industrie,FassadeGrau,DachGrau
10 Do-Bbf-FaPrange;Industrie,Halle,FassadeBlau,DachGrau
10 Do-Bbf-FaRhenus-2;Industrie,FassadeLila,DachGrau,Halle
10 Do-Bbf-FaRhenus-3-1;Spedition,Industrie,FassadeBlau,DachGrau,Halle
10 Do-Bbf-FaRhenus-3-2-Komplex;Industrie,Spedition,FassadeGrau,DachGrau
10 Do-Bbf-FaRhenus;Industrie,FassadeBlau,DachGrau,Spedition
10 Do-Bbf-WHalle-6;Industrie,FassadeBeige,DachGrau
10 Do-GSP-Werkstatt;Industrie,FassadeBraun,DachGrau
10 Do-Lagerhalle-1-4er-Komplex;Industrie,FassadeBraun,DachGrau
10 Do-Mypado;Industrie,FassadeGrau,DachGrau
10 Do-Verwaltung-1;Büro,Verwaltung,FassadeGrau,DachGrau
10 Do-Verwaltung-2;Büro,Verwaltung,FassadeRot,DachSchwarz,DachGrau
10 Do-Wburger-Halle-1;Industrie,FassadeGrau,DachSchwarz,DachGrau
10 Do-Werkhalle-1;Industrie,FassadeGrau,FassadeRot,DachGrau
10 Do-Werkhalle-2;Industrie,FassadeGrau,FassadeZiegel,DachGrau
10 Do-Werkhalle-2b;Industrie,FassadeWeiss,FassadeGrau,DachGrau,DachSchwarz
10 Do-Werkhalle-3;Industrie,FassadeZiegel,DachGrau
10 Do-Werkhalle-3b-1;Industrie,FassadeZiegel,DachGrau
10 Do-Werkhalle-3b-2;Industrie,FassadeGrau,FassadeZiegel,DachGrau
10 Do-Werkhalle-4-2;Industrie,Werkstatt,FassadeGrau,DachRot,DachSchwarz
10 Do-Werkhalle-4;Industrie,FassadeGrau,DachSchwarz
10 Do-Werkstatt-2b;Industrie,FassadeGrau,DachGrau
11 Do-Bbf-VEW-1;Industrie,FassadeZiegel,DachSchwarz
11 Do-Bbf-VEW-2;Industrie,FassadeZiegel,FassadeWeiss,DachGrau
13 Do-Bbf-WHalle-4;Industrie,FassadeGrau,DachWeiss
13 Do-Bbf-WHalle-5;Industrie,FassadeGrau,DachWeiss
13 Do-Bbf-Werkstatt-3;Industrie,Werkstatt,Bus,FassadeZiegel,DachGrau
21 Do-Bbf-Soccer-World;Industrie,FassadeGrau,DachWeiss,Sport,Fußball
30 Do-Bbf-Schiebebuehne;Schiebebühne
30 Do SB-Grube;Schiebebühne
31 Do-Bbf-LW Buero;Industrie,Büro,Lokschuppen,FassadeZiegel,DachSchwarz
31 Do-Bbf Rolltor;Tor
31 Do-Lokwerkstatt;Lokschuppen,FassadeRot,DachGrau
32 Do-ICE-Werk-1;Industrie,Lokschuppen,FassadeGrau,DachWeiss
32 Do ICE-Halle-3;Industrie.Lokschuppen,FassadeGrau,DachWeiss
32 Do ICE-Waschkaue;Büro,Verwaltung,FassadeGrau,DachWeiss,DachGrau
33 Do-Bbf-D-Waschanlage;Industrie,Lokschuppen,ARA,Außenreinigungsanlage,FassadeGrau,DachGrau
33 Do-Bbf-E-Waschanlage;Industrie,FassadeGrau,DachGrau
33 Do-Bbf ARA-Hallentor;Tor,Lokschuppen
34 Do-Bbf-Ausbildung-Werkstatt;Industrie,Werkstatt,FassadeRot,DachGrau
35 Do Bbf-WM-Str-3;Industrie,FassadeBlau,DachGrau
36 Do-Bbf-WTurm;Turm,FassadeZiegel
37 Do-Bbf-Schule-1;Schule,FassadeRot
38 Do-Bbf-Schule-2;Industrie,FassadeGrau,DachGrau
39 Do Bbf-Buero-1;Büro,Verwaltung,FassadeZiegel,DachGrau
40 Do Bbf-Stw-Dbw;Stellwerk,FassadeZiegel
41 Do Bbf-Stw-Dbl-Anbau;Bahnbude,Fassadeziegel,Schuppen,DachSchwarz
41 Do Bbf-Stw-Dbl;Stellwerk,FassadeZiegel
42 Do Bbf-Stw-Dbh;Stellwerk,FassadeGrau
43 Do Bbf-Stw-Dbs;Stellwerk,FassadeSchiefer
44 Do Bbf-Stw-Dbn;Stellwerk,Bahnbude,FassadeZiegel,DachSchwarz
45 Do Bbf-Stw-Dba;Stellwerk,FassadeZiegel
50 Do-Bbf-Osterland-35;Industrie,FassadeGrau,DachGrau
Do-Rush-Hour-gesamt;Disco,FassadeGrau
Stahltraeger-Fundament;Fundament
Stahltraeger-senkrecht;Stahlträger,Kranbahn
Stahltraeger;Stahlträger,Kranbahn
01 Do-Scharnhorst-Stw;Stellwerk,FassadeZiegel,FassadeBeige
02 Do-Scharn-Brue km 125-320;Brücke,Stahlbrücke,Stahlfachwerkbrücke
03 Do-Scharn-FG-Bruecke;Brücke,Fußgängerbrücke,Bahnsteigzugang
04 Do-Scharn-UF;Durchlass
05 Do-Scharn-Bk-Eingang;Durchlass
10 Do-Scharn-BStopp;Industrie,Werkstatt,FassadeGrau,DachGrau
10 Do-Scharn-HS-Halle-18m-50m;Industrie,Halle,FassadeGrau,DachGrau
10 Do-Scharn-HS-Halle-24m-50m;Industrie,Halle,FassadeGrau,DachGrau
10 Do-Scharn-HS-Halle-30m-50m;Industrie,Halle,FassadeGrau,DachGrau
10 Do-Scharn-Handy-Shop;Industrie,Halle,FassadeGrau,DachGrau
10 Do-Scharn-NIDEC;Industrie,FassadeGrau,DachGrau
10 Fa-Hessling-10-Werkhalle-1;Industrie,FassadeGrau,DachGrau
10 Fa-Hessling-12-Werkhalle-1;Industrie,FassadeGrau,DachGrau
10 Fa-Hessling-14;Industrie,FassadeGrau,DachGrau
10 Fa-Hessling-16;Industrie,FassadeGrau,DachGrau
10 Fa-Schirmer-gesamt-1;Industrie,FassadeGrau,DachGrau,FassadeRot,Kaffee
10 VEW-Luefter;Schacht
01 Do-Kurl-EG;Empfangsgebäude,FassadeZiegel,DachSchwarz
02 Do-Kurl-Bstg-NG-2;Bahnsteigabgang
03 Do-Kurl-Treppe-1;Treppe
10 Do-Kurler-Str-132;Gasthof,FassadeFachwerk,DachBraun
10 Do-Kurler-Str-132b;Mehrfamilienhaus,FassadeGrau,DachGrau
10 Do-Kurler-Str-134;Mehrfamilienhaus,Stadthaus,Hochhhaus,FassadeGrau,DachGrau
15 Do-Deilmann-AEG-1;Empfangsgebäude,FassadeZiegel,DachSchwarz
15 Do-Deilmann-BG-1;Büro,FassadeZiegel,DachGrün
15 Do-Deilmann-Verwaltung;Industrie,FassadeZiegel,DachGrau
15 Do-Halle-1;Industrie,Halle,FassadeGrau,DachGrau
15 Do-Halle-2;Industrie,Halle,FassadeGrau,DachGrau
15 Do-Halle-3-4;Industrie,Halle,FassadeGrau,DachGrau
15 Do-Halle-5;Industrie,FassadeGrau,DachGrau
15 Do-Halle-5a;Industrie,FassadeGrau,DachGrau
15 Do-Halle-6;Industrie,FassadeGrau,FassadeBraun,DachGrau
20 Do-Kurl-Lidl;Supermarkt,Lidl
21 Do-Kurl-Rewe-Getraenke;Supermarkt,Rewe,FassadeZiegel
21 Do-Kurl-Rewe;Supermarkt,Rewe,FassadeZiegel
22 Do-Kurl-Rossmann;Supermarkt,Drogerie,Rossmann
30 Do-Kurl-Plasstr-73a;Mehrfamilienhaus,FassadeGrau,DachGrau
30 Do-Kurl-Plasstr-73b;Mehrfamilienhaus,FassadeGrau,DachGrau
31 Do-Kurl-WH-3;Mehrfamilienhaus,Doppelhaus,FassadeGrau,DachRot,DachSchwarz
03 03 Bstg 2 3 Teil 1;Bahnsteigdach
03 03 Bstg 2 3 Teil 2;Bahnsteigdach
Bruecke km 4-098;Brücke,Betonbrücke,Straßenbrücke
Bstg Blende 730;Bahnsteigdach
Do Hoerde 01 EG;Empfangsgebäude,FassadeZiegel,DachGrau
Do Hoerde 01 GHaus aEG;Werkstatt,Schuppen,FassadeZiegel,DachSchwarz
Do Hoerde 02-Bstg-Nieder 02;Bahnsteigabgang
Do Hoerde 03 UF km 172-77;Brücke,Steinbrücke
Do Hoerde 04 WHaus12;Mehrfamilienhaus,Stadthaus,Eckhaus,FassadeWeiss,DachRot
Do Hoerde 04 WHaus14;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeGrün,DachSchwarz
Do Hoerde 04 WHaus16;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeBeige,DachSchwarz
Do Hoerde 04 WHaus18;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeWeiss,FassadeGrau,DachGrau
Do Hoerde 05 UF km 173-397;Brücke,Steinbrücke
Do Hoerde 06 SPK-1;Sparkasse,DachGrau
Do Hoerde 06 SPK-2;Büro,FassadeRot,DachGrau
Do Hoerde 07 WHaus 1;Mehrfamilienhaus,Stadthaus,Reihenhaus,Gewerbe,FassadeZiegel,DachRot
Do Hoerde 08 WStatt;
Do Hoerde 09 Stadt Verw;Büro,Verwaltung,FassadeBlau,DachGrau
Do Hoerde 10 Stw-Hoef;Stellwerk,FassadeZiegel
Do Hoerde 11 Josef-Hospital;Krankenhaus,FassadeZiegel,DachGrau
Do Hoerde 12 AmClarenberg 1;Hochhaus,FassadeGrau,DachGrau
Do Hoerde 13 Wh 133;Mehrfamilienhaus,Stadthaus,Reihenhaus,DachBraun,DachSchwarz,FassadeGrau,FassadeBeige,FassadeRosa
Do Hoerde 13 Wh 143;Mehrfamilienhaus,Gewerbe,FassadeGrau,DachSchwarz
Abgang Bstg1;Bahnsteigabgang
