06 10 WHaus Leostr 5;Mehrfamilienhaus,Stadthaus,DachBraun,FassadeBeige
06 10 WHaus Leostr 7;Mehrfamilienhaus,Stadthaus,Reihenhaus,DachBraun,FassadeBeige
06 10 WHaus Leostr 9;Mehrfamilienhaus,DachBraun,FassadeBraun,Reihenhaus,Stadthaus
06 17 WGHaus;Gewerbe,Mehrfamilienhaus,DachRot,FassadeGrau
06 21 18 WHaeuser;Mehrfamilienhaus,Stadthaus,DachSchwarz,Reihenhaus,FassadeWeiss
06 33 Gymnasium;Schule,Kloster
06 34 WHaus;Mehrfamilienhaus,Hochhaus,Stadthaus
06 35 WHaus;Mehrfamilienhaus,Hochhaus,Stadthaus
06 36 WHaus;Mehrfamilienhaus,DachBraun,FassadeGrau,Reihenhaus,Stadthaus
06 37 WHaus;Mehrfamilienhaus,Reihenhaus,Stadthaus,DachBraun,FassadeGrau
06 38 WHaus;Mehrfamilienhaus,Stadthaus,MitGarage,DachBraun,FassadeBraun
06 39 WHaus;Einfamilienhaus,MitGarage,Garten,DachBraun,FassadeOrange
06 40 WHaus;Mehrfamilienhaus,Stadthaus,DachSchwarz,FassadeBeige
06 WH 24 22;Mehrfamilienhaus,Stadthaus,Reihenhaus,Stadtmauer
06 WH 27 25;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeBeige
06 WH 28 30;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeBeige
07 01 Vetter Engel;Industrie
10 01 WHaus;Einfamilienhaus,FassadeGrau,DachBraun
10 02 Unterkunft;Kaserne,Schule,Kloster,Büro
10 02 Werkstatt;Kaserne,Garage
10 03 WHaus;Einfamilienhaus,FassadeGrau,DachBraun,MitGarage
10 05 WHaus 1;Reihenhaus,Stadthaus,FassadeBeige,DachRot,DachBraun,Mehrfamilienhaus,Doppelhaus
10 05 WHaus 3;Mehrfamilienhaus,Stadthaus,FassadeBeige,Flachdach
10 05 WHaus 5;Mehrfamilienhaus,DachBraun,FassadeBeige
Bstg Blende 700;Bahnsteig,Bahnsteigdach
Bstg Blende 730;Bahnsteig,Bahnsteigdach
B-Hof-Stallung-1;Bauernhof,DachBraun,FassadeStein
B-Hof-Stallung-2;Bauernhof,FassadeStein
B-Hof-Stallung-3;Bauernhof,FassadeZiegel
B-Hof-Stallung-4;Bauernhof,DachRot,FassadeZiegel
Bauernhof-1;Bauernhof,DachRot,FassadeZiegel
Bauernhof-2;Bauernhof,DachRot,FassadeZiegel
Bauernhof-3-2;Bauernhof,FassadeWeiss,DachRot
Bauernhof-3-3;Bauernhof,FassadeStein,DachRot
Bauernhof-3;Bauernhof,FassadeZiegel,DachRot
Bauernhof-4;FassadeFachwerk,FassadeBraun,DachGrau,Bauernhof
Bauernhof-4 2;Bauernhof,FassadeFachwerk,FassadeBraun,DachGrau
Bauernhof-4 3;Bauernhof,FassadeGelb,FassadeFachwerk,DachGrau
Bauernhof-4 4;Bauernhof,FassadeFachwerk,FassadeGelb,DachGrau
Bauernhof-5-2;Bauernhof,DachBraun,FassadeStein
Bauernhof-5;Bauernhof,DachRot
Bauernhof-6;Bauernhof,DachRot
Bauernhof-7;Bauernhof,DachRot
Bue-Haus;Schrankenposten,FassadeGrau,DachBraun
Buke 01;Industrie
Buke 02;Empfangsgebäude
Buke 03 Gueterschuppen;Güterschuppen
Buke 06;Industrie,Solar,Photovoltaik
Buke 07;Industrie
Buke 08;Industrie
Buke 09;Industrie
Buke 10;Bauernhof,Scheune
Buke 11;Schuppen,FassadeStein,DachRot
Laderampe-Kopf;Laderampe,Kopframpe,Ladestraße
Laderampe;Laderampe,Ladestraße
Wh-2Etg-1-1;Mehrfamilienhaus,Reihenhaus,Stadthaus,DachBraun,FassadeBeige
Wh-2Etg-1-2;Mehrfamilienhaus,Reihenhaus,Stadthaus,FassadeBlau,DachBraun
Wh-2Etg-1-3;Mehrfamilienhaus,Reihenhaus,Stadthaus,FassadeBeige,DachBraun
Wh-2Etg-1-4;Mehrfamilienhaus,Reihenhaus,Stadthaus,FassadeBlau,DachBraun
Wh-2Etg-1-5;Mehrfamilienhaus,Reihenhaus,Stadthaus,FassadeBlau,DachBraun
Wh-2Etg-1-6;Mehrfamilienhaus,Reihenhaus,Stadthaus,FassadeZiegel,DachBraun
Wh-2Etg-2-6;Mehrfamilienhaus,Reihenhaus,Stadthaus,FassadeZiegel,DachBraun,MitBalkon
Wh-2Etg-3-1;Mehrfamilienhaus,FassadeBeige,DachBraun
Wh-2Etg-3-2;Mehrfamilienhaus,FassadeBlau,DachBraun
Wh-2Etg-3-3;Mehrfamilienhaus,FassadeBlau,DachBraun
Wh-2Etg-3-6;Mehrfamilienhaus,FassadeRot,DachBraun
Wh-2Etg-4-1;Mehrfamilienhaus,FassadeBeige,DachBraun
Wh-2Etg-4-2;Mehrfamilienhaus,FassadeGrau,DachBraun
Wh-2Etg-4-3;Mehrfamilienhaus,FassadeBlau,DachBraun
Wh-2Etg-4-4;Mehrfamilienhaus,FassadeBlau,DachBraun
Wh-2Etg-4-5;Mehrfamilienhaus,FassadeBlau,DachBraun,Reihenhaus,Stadthaus
Wh-2Etg-4-6;Mehrfamilienhaus,FassadeRot,DachBraun,Stadthaus,Reihenhaus
Zucht Geb 1;Bauernhof
Zucht Geb 2;Bauernhof
Neuenheerse04;Stellwerk
Schalthaus;Schalthaus
Signalbrk P1 P2;Signalausleger,Signalbrücke
Schu-Boerling;Schuppen,FassadeHolz,DachGrau
T Club Haus;Bungalow,Sport,Tennis,FassadeGelb,DachSchwarz
Tennisplatz;Sport,Tennis
Willebad 15;Industrie,FassadeZiegel,DachBraun
Willebad Viadukt;Brücke,Viadukt
Willebadessen10;Mehrfamilienhaus,DachRot,MitGarage,Doppelhaus
Willebadessen 02;Empfangsgebäude
Willebadessen 03;Schuppen
Willebadessen 04;Stellwerk
Willebadessen 05;Industrie,Schuppen,Halle,FassadeGrau,DachGrau
Willebadessen 08;Industrie
Willebadessen 09;Schuppen
Willebadessen 13;Fernsehturm,Typenturm,FMT16,FMT15,FMT14
Betonrohre-liegend;Ladegut,Baustelle
Betonrohre-stehend;Ladegut,Baustelle
Bonenburg08;Einfamilienhaus,FassadeWeiss,DachGrau
Bonenburg09;Industrie
Bonenburg09mitProdukten;Industrie
Bonenburg 01;Mehrfamilienhaus,FassadeWeiss,DachRot
Bonenburg 02 a;Industrie,Halle,DachRot
Bonenburg 02 b;Industrie,Halle,Rundhalle
Bonenburg 03;Stellwerk
Bonenburg 06;Industrie,FassadeVerwittert
Bonenburg 07;Mehrfamilienhaus,DachRot,FassadeWeiss,MitBalkon
Garagenzeile-4f;Garage
Kabelkanalsteine;Ladegut,Baustelle
Wh-1Etg-1-1;Einfamilienhaus,DachRot,FassadeBeige,MitGarage
Wh-1Etg-2-1;Einfamilienhaus,FassadeGelb,DachBraun,MitGarage
Wh-1Etg-3-1;Einfamilienhaus,FassadeGelb,DachBraun
Wh-1Etg-4-1;Einfamilienhaus,DachBraun,FassadeGelb
Wh-1Etg-5-1;Einfamilienhaus,FassadeGelb,DachRot
Wh-1Etg-6-1;Einfamilienhaus,DachRot,FassadeGelb,MitGarage
Wh-1Etg-7-1;Einfamilienhaus,FassadeGelb,DachBraun,MitGarage
Wh-1Etg-8-1;Zweifamilienhaus,FassadeBeige,DachBraun
Wh-1Etg-9-1;Einfamilienhaus,FassadeBeige,DachBraun
Fabrik 1;Industrie,Halle
Fabrik 2;Industrie,FassadeZiegel
Fabrik 3;Industrie
Fabrik 4;Industrie
Fabrik 5;Industrie
Fabrik 6;Industrie
Gara km143-77;Garage,Schuppen
Haus 1 km143-77;Zweifamilienhaus,FassadeBeige,DachBraun
Haus 2 km143-77;Mehrfamilienhaus,FassadeZiegel,DachSchwarz
Haus 3 km143-77;Einfamilienhaus,FassadeWeiss,DachBraun
Noerde Fabrik 1;Industrie,FassadeRot,Halle
Noerde Fabrik 2;Industrie
Warburg01-Abgang;Bahnsteig,Gleis3,Gleis4
Warburg01-EG;Empfangsgebäude
Warburg15;Industrie,Bahnmeisterei,FassadeZiegel
Warburg 03;Stellwerk,Schrankenposten,FassadeVerbrettert
Warburg 04 a;Industrie,Zuckerfabrik,Silo
